"Sygnatura czasowa","Zaw鏚","Wynik_1","Wynik_2","Wynik_3","Wynik_4"
"2020/12/31 12:13:36 AM CET","Po這積a(y)",8,8,2,2
"2020/12/31 12:22:48 AM CET","Fizjoterapeuta",8,7,3,1
"2020/12/31 1:23:19 AM CET","Po這積a(y)",6,6,3,2
"2020/12/31 3:02:36 AM CET","Po這積a(y)",6,4,3,1
"2020/12/31 4:25:57 AM CET","Po這積a(y)",12,5,5,4
"2020/12/31 6:24:25 AM CET","Po這積a(y)",10,5,4,4
"2020/12/31 6:33:10 AM CET","Po這積a(y)",5,0,3,1
"2020/12/31 6:46:07 AM CET","Po這積a(y)",7,7,4,1
"2020/12/31 8:46:24 AM CET","Po這積a(y)",11,2,7,5
"2020/12/31 9:04:10 AM CET","Fizjoterapeuta",7,6,3,1
"2020/12/31 9:21:18 AM CET","Fizjoterapeuta",7,8,3,1
"2020/12/31 10:02:34 AM CET","Po這積a(y)",6,3,3,2
"2020/12/31 11:05:31 AM CET","Po這積a(y)",8,1,4,1
"2020/12/31 11:18:53 AM CET","Po這積a(y)",7,0,5,1
"2020/12/31 2:55:33 PM CET","Po這積a(y)",10,3,5,3
"2020/12/31 6:02:16 PM CET","Fizjoterapeuta",7,9,1,3
"2020/12/31 6:02:49 PM CET","Fizjoterapeuta",8,7,3,1
"2020/12/31 6:23:32 PM CET","Fizjoterapeuta",8,6,5,2
"2020/12/31 7:59:17 PM CET","Fizjoterapeuta",11,6,6,3
"2020/12/31 8:03:38 PM CET","Fizjoterapeuta",8,6,4,2
"2020/12/31 8:14:00 PM CET","Fizjoterapeuta",4,11,1,1
"2020/12/31 8:39:47 PM CET","Fizjoterapeuta",0,10,0,0
"2020/12/31 9:04:19 PM CET","Fizjoterapeuta",1,13,0,0
"2020/12/31 10:53:03 PM CET","Fizjoterapeuta",4,13,0,0
"2020/12/31 10:53:37 PM CET","Fizjoterapeuta",10,7,5,4
"2020/12/31 11:15:53 PM CET","Fizjoterapeuta",12,4,5,3
"2020/12/31 11:22:28 PM CET","Fizjoterapeuta",5,8,3,2
"2021/01/01 12:15:23 AM CET","Fizjoterapeuta",8,5,4,2
"2021/01/01 12:28:36 AM CET","Fizjoterapeuta",8,8,3,2
"2021/01/01 12:41:33 AM CET","Fizjoterapeuta",8,5,3,0
"2021/01/01 2:08:04 AM CET","Fizjoterapeuta",8,8,4,2
"2021/01/01 2:25:56 AM CET","Fizjoterapeuta",8,5,5,2
"2021/01/01 4:45:59 AM CET","Fizjoterapeuta",10,3,6,2
"2021/01/01 6:19:03 AM CET","Fizjoterapeuta",9,4,4,2
"2021/01/01 6:50:49 AM CET","Fizjoterapeuta",6,3,4,2
"2021/01/01 9:14:53 AM CET","Po這積a(y)",13,2,6,4
"2021/01/01 9:15:50 AM CET","Fizjoterapeuta",11,5,4,2
"2021/01/01 10:06:39 AM CET","Fizjoterapeuta",9,5,3,1
"2021/01/01 10:47:37 AM CET","Fizjoterapeuta",6,10,3,2
"2021/01/01 11:24:01 AM CET","Fizjoterapeuta",9,6,3,2
"2021/01/01 11:44:18 AM CET","Fizjoterapeuta",8,6,6,2
"2021/01/01 12:08:21 PM CET","Fizjoterapeuta",8,6,3,1
"2021/01/01 12:08:33 PM CET","Fizjoterapeuta",6,9,2,1
"2021/01/01 12:09:03 PM CET","Fizjoterapeuta",11,2,6,2
"2021/01/01 12:24:29 PM CET","Fizjoterapeuta",9,4,5,2
"2021/01/01 1:29:37 PM CET","Fizjoterapeuta",8,6,4,1
"2021/01/01 1:43:39 PM CET","Fizjoterapeuta",8,12,2,3
"2021/01/01 2:58:34 PM CET","Fizjoterapeuta",10,3,5,3
"2021/01/01 3:23:38 PM CET","Fizjoterapeuta",6,6,3,1
"2021/01/01 3:34:54 PM CET","Fizjoterapeuta",5,9,3,1
"2021/01/01 3:52:24 PM CET","Fizjoterapeuta",4,11,1,0
"2021/01/01 3:58:25 PM CET","Fizjoterapeuta",6,9,3,2
"2021/01/01 3:59:41 PM CET","Fizjoterapeuta",7,8,3,1
"2021/01/01 4:14:24 PM CET","Fizjoterapeuta",1,9,0,0
"2021/01/01 4:17:40 PM CET","Fizjoterapeuta",9,7,2,3
"2021/01/01 4:24:59 PM CET","Fizjoterapeuta",11,4,4,3
"2021/01/01 4:37:53 PM CET","Fizjoterapeuta",5,11,2,2
"2021/01/01 4:38:51 PM CET","Fizjoterapeuta",6,11,2,2
"2021/01/01 4:53:39 PM CET","Fizjoterapeuta",8,6,2,2
"2021/01/01 4:58:58 PM CET","Fizjoterapeuta",5,10,3,2
"2021/01/01 5:07:11 PM CET","Fizjoterapeuta",9,11,2,3
"2021/01/01 5:10:34 PM CET","Po這積a(y)",8,9,3,1
"2021/01/01 5:28:44 PM CET","Fizjoterapeuta",5,5,2,2
"2021/01/01 5:29:17 PM CET","Fizjoterapeuta",4,11,2,2
"2021/01/01 5:29:38 PM CET","Fizjoterapeuta",2,5,0,0
"2021/01/01 5:35:51 PM CET","Fizjoterapeuta",7,7,3,1
"2021/01/01 5:37:46 PM CET","Fizjoterapeuta",9,5,5,2
"2021/01/01 5:40:09 PM CET","Fizjoterapeuta",7,9,3,2
"2021/01/01 5:43:51 PM CET","Fizjoterapeuta",7,10,3,3
"2021/01/01 5:44:01 PM CET","Po這積a(y)",10,6,4,3
"2021/01/01 6:19:58 PM CET","Fizjoterapeuta",6,5,2,1
"2021/01/01 6:20:43 PM CET","Fizjoterapeuta",2,13,1,0
"2021/01/01 6:24:57 PM CET","Fizjoterapeuta",7,9,3,3
"2021/01/01 6:36:22 PM CET","Fizjoterapeuta",9,4,5,3
"2021/01/01 6:46:33 PM CET","Fizjoterapeuta",7,7,3,3
"2021/01/01 7:19:29 PM CET","Fizjoterapeuta",8,7,4,2
"2021/01/01 7:38:34 PM CET","Fizjoterapeuta",8,4,4,2
"2021/01/01 7:56:41 PM CET","Fizjoterapeuta",8,7,3,1
"2021/01/01 8:14:50 PM CET","Fizjoterapeuta",12,4,6,4
"2021/01/01 8:15:11 PM CET","Fizjoterapeuta",9,5,5,2
"2021/01/01 8:46:44 PM CET","Fizjoterapeuta",10,8,4,2
"2021/01/01 8:47:39 PM CET","Fizjoterapeuta",11,4,5,3
"2021/01/01 8:51:48 PM CET","Fizjoterapeuta",9,6,6,3
"2021/01/01 9:00:08 PM CET","Fizjoterapeuta",5,5,3,1
"2021/01/01 9:00:56 PM CET","Fizjoterapeuta",6,9,2,0
"2021/01/01 9:03:25 PM CET","Fizjoterapeuta",8,9,3,3
"2021/01/01 9:39:19 PM CET","Fizjoterapeuta",8,6,3,1
"2021/01/01 9:48:49 PM CET","Fizjoterapeuta",8,5,4,2
"2021/01/01 9:57:47 PM CET","Fizjoterapeuta",6,7,4,2
"2021/01/01 10:02:02 PM CET","Fizjoterapeuta",10,5,5,3
"2021/01/01 10:08:25 PM CET","Fizjoterapeuta",6,6,3,2
"2021/01/01 10:32:48 PM CET","Po這積a(y)",2,3,1,2
"2021/01/01 10:41:28 PM CET","Fizjoterapeuta",9,6,3,3
"2021/01/01 11:15:26 PM CET","Fizjoterapeuta",6,10,2,2
"2021/01/01 11:19:33 PM CET","Fizjoterapeuta",9,7,5,1
"2021/01/01 11:36:51 PM CET","Fizjoterapeuta",7,7,2,2
"2021/01/01 11:42:26 PM CET","Fizjoterapeuta",7,6,4,2
"2021/01/02 12:04:24 AM CET","Fizjoterapeuta",3,10,2,0
"2021/01/02 12:34:18 AM CET","Fizjoterapeuta",7,8,3,3
"2021/01/02 12:59:59 AM CET","Fizjoterapeuta",6,10,2,2
"2021/01/02 3:10:21 AM CET","Fizjoterapeuta",10,6,5,3
"2021/01/02 4:01:36 AM CET","Fizjoterapeuta",8,8,2,2
"2021/01/02 5:00:55 AM CET","Po這積a(y)",8,3,5,3
"2021/01/02 5:15:44 AM CET","Po這積a(y)",7,6,3,0
"2021/01/02 9:32:05 AM CET","Fizjoterapeuta",10,6,6,1
"2021/01/02 10:09:27 AM CET","Po這積a(y)",9,0,4,3
"2021/01/02 10:21:38 AM CET","Fizjoterapeuta",7,5,6,3
"2021/01/02 10:30:05 AM CET","Fizjoterapeuta",7,8,2,2
"2021/01/02 11:52:35 AM CET","Fizjoterapeuta",7,7,4,1
"2021/01/02 1:27:23 PM CET","Fizjoterapeuta",7,11,1,3
"2021/01/02 2:04:11 PM CET","Fizjoterapeuta",9,9,5,3
"2021/01/02 2:30:40 PM CET","Fizjoterapeuta",9,7,4,3
"2021/01/02 2:49:48 PM CET","Fizjoterapeuta",10,4,4,3
"2021/01/02 2:51:07 PM CET","Fizjoterapeuta",8,6,4,2
"2021/01/02 2:51:26 PM CET","Fizjoterapeuta",8,5,3,3
"2021/01/02 3:47:00 PM CET","Fizjoterapeuta",8,4,3,2
"2021/01/02 3:49:05 PM CET","Fizjoterapeuta",12,4,7,4
"2021/01/02 4:14:30 PM CET","Fizjoterapeuta",5,9,0,1
"2021/01/02 4:24:08 PM CET","Fizjoterapeuta",9,7,3,3
"2021/01/02 6:20:30 PM CET","Fizjoterapeuta",7,7,4,2
"2021/01/02 6:42:28 PM CET","Fizjoterapeuta",9,6,4,1
"2021/01/02 6:47:05 PM CET","Fizjoterapeuta",7,6,3,1
"2021/01/02 7:25:54 PM CET","Fizjoterapeuta",8,6,3,1
"2021/01/02 8:10:03 PM CET","Po這積a(y)",3,3,2,0
"2021/01/02 9:18:43 PM CET","Fizjoterapeuta",7,7,4,2
"2021/01/02 9:29:25 PM CET","Fizjoterapeuta",10,5,5,4
"2021/01/02 10:08:59 PM CET","Po這積a(y)",6,5,2,2
"2021/01/02 10:28:57 PM CET","Fizjoterapeuta",4,7,1,0
"2021/01/02 10:33:28 PM CET","Fizjoterapeuta",7,12,2,3
"2021/01/02 10:35:22 PM CET","Fizjoterapeuta",15,2,9,4
"2021/01/02 10:50:03 PM CET","Fizjoterapeuta",10,5,6,3
"2021/01/02 10:50:09 PM CET","Fizjoterapeuta",5,8,3,1
"2021/01/02 11:21:21 PM CET","Fizjoterapeuta",8,6,1,2
"2021/01/02 11:27:33 PM CET","Po這積a(y)",8,6,4,2
"2021/01/02 11:52:53 PM CET","Fizjoterapeuta",8,8,2,2
"2021/01/03 12:11:52 AM CET","Fizjoterapeuta",7,9,2,1
"2021/01/03 12:34:42 AM CET","Fizjoterapeuta",8,5,3,2
"2021/01/03 12:41:57 AM CET","Fizjoterapeuta",11,4,6,3
"2021/01/03 12:43:49 AM CET","Fizjoterapeuta",6,9,1,2
"2021/01/03 12:48:02 AM CET","Fizjoterapeuta",6,7,3,3
"2021/01/03 1:01:05 AM CET","Fizjoterapeuta",3,7,2,0
"2021/01/03 1:07:37 AM CET","Fizjoterapeuta",11,3,6,3
"2021/01/03 3:04:15 AM CET","Fizjoterapeuta",6,9,1,2
"2021/01/03 3:33:47 AM CET","Fizjoterapeuta",7,9,2,2
"2021/01/03 4:27:07 AM CET","Fizjoterapeuta",7,8,2,1
"2021/01/03 6:46:07 AM CET","Fizjoterapeuta",12,3,6,4
"2021/01/03 7:46:29 AM CET","Fizjoterapeuta",12,2,6,1
"2021/01/03 9:03:14 AM CET","Fizjoterapeuta",13,3,7,3
"2021/01/03 9:04:36 AM CET","Fizjoterapeuta",4,13,2,1
"2021/01/03 9:18:43 AM CET","Fizjoterapeuta",5,8,2,0
"2021/01/03 9:23:49 AM CET","Fizjoterapeuta",9,5,4,3
"2021/01/03 9:33:46 AM CET","Fizjoterapeuta",8,8,3,2
"2021/01/03 9:37:50 AM CET","Fizjoterapeuta",13,5,6,4
"2021/01/03 10:10:15 AM CET","Fizjoterapeuta",10,2,5,2
"2021/01/03 10:14:34 AM CET","Fizjoterapeuta",7,8,2,2
"2021/01/03 10:14:43 AM CET","Fizjoterapeuta",4,7,1,2
"2021/01/03 10:24:29 AM CET","Fizjoterapeuta",7,2,3,1
"2021/01/03 10:47:26 AM CET","Fizjoterapeuta",8,5,4,3
"2021/01/03 10:49:11 AM CET","Fizjoterapeuta",15,2,8,3
"2021/01/03 11:02:28 AM CET","Fizjoterapeuta",10,7,2,3
"2021/01/03 11:05:03 AM CET","Fizjoterapeuta",10,6,4,2
"2021/01/03 11:05:31 AM CET","Fizjoterapeuta",7,10,2,3
"2021/01/03 11:06:03 AM CET","Fizjoterapeuta",12,3,7,3
"2021/01/03 11:12:55 AM CET","Fizjoterapeuta",11,7,5,2
"2021/01/03 11:22:02 AM CET","Fizjoterapeuta",10,6,4,2
"2021/01/03 11:24:31 AM CET","Fizjoterapeuta",7,5,4,3
"2021/01/03 11:34:46 AM CET","Fizjoterapeuta",11,6,5,3
"2021/01/03 11:37:38 AM CET","Fizjoterapeuta",5,10,1,2
"2021/01/03 11:47:37 AM CET","Fizjoterapeuta",8,4,4,2
"2021/01/03 12:14:07 PM CET","Fizjoterapeuta",5,6,2,1
"2021/01/03 12:31:16 PM CET","Fizjoterapeuta",8,7,4,3
"2021/01/03 12:32:30 PM CET","Fizjoterapeuta",4,10,1,3
"2021/01/03 12:41:10 PM CET","Fizjoterapeuta",6,11,4,3
"2021/01/03 12:51:02 PM CET","Fizjoterapeuta",10,5,5,3
"2021/01/03 12:55:44 PM CET","Fizjoterapeuta",9,8,5,2
"2021/01/03 12:56:31 PM CET","Fizjoterapeuta",6,7,2,2
"2021/01/03 12:56:38 PM CET","Fizjoterapeuta",3,10,2,2
"2021/01/03 12:56:47 PM CET","Fizjoterapeuta",10,3,6,3
"2021/01/03 1:08:13 PM CET","Fizjoterapeuta",8,8,3,2
"2021/01/03 1:18:44 PM CET","Fizjoterapeuta",8,4,5,3
"2021/01/03 1:37:10 PM CET","Fizjoterapeuta",6,5,3,1
"2021/01/03 2:26:39 PM CET","Fizjoterapeuta",10,6,6,4
"2021/01/03 2:48:14 PM CET","Fizjoterapeuta",8,5,4,3
"2021/01/03 3:01:17 PM CET","Fizjoterapeuta",11,3,6,3
"2021/01/03 3:17:46 PM CET","Fizjoterapeuta",7,10,4,2
"2021/01/03 4:25:14 PM CET","Fizjoterapeuta",3,10,1,1
"2021/01/03 4:36:55 PM CET","Fizjoterapeuta",5,10,2,2
"2021/01/03 7:55:05 PM CET","Fizjoterapeuta",7,8,4,2
"2021/01/03 8:01:11 PM CET","Fizjoterapeuta",5,8,1,1
"2021/01/03 8:07:53 PM CET","Fizjoterapeuta",8,7,4,3
"2021/01/03 8:08:13 PM CET","Fizjoterapeuta",4,10,2,2
"2021/01/03 8:16:11 PM CET","Fizjoterapeuta",9,6,5,1
"2021/01/03 8:25:24 PM CET","Fizjoterapeuta",13,5,7,2
"2021/01/03 8:44:10 PM CET","Fizjoterapeuta",6,8,2,1
"2021/01/03 9:40:26 PM CET","Fizjoterapeuta",10,8,4,3
"2021/01/03 9:48:07 PM CET","Fizjoterapeuta",8,4,4,3
"2021/01/03 10:01:01 PM CET","Fizjoterapeuta",6,7,3,1
"2021/01/03 10:10:53 PM CET","Fizjoterapeuta",9,6,4,2
"2021/01/03 10:34:57 PM CET","Fizjoterapeuta",8,4,5,2
"2021/01/03 11:34:35 PM CET","Fizjoterapeuta",8,7,3,3
"2021/01/03 11:40:51 PM CET","Fizjoterapeuta",6,11,2,2
"2021/01/04 12:02:14 AM CET","Fizjoterapeuta",6,8,2,1
"2021/01/04 2:25:49 AM CET","Fizjoterapeuta",7,10,4,1
"2021/01/04 10:05:54 AM CET","Fizjoterapeuta",9,7,4,2
"2021/01/04 11:25:35 AM CET","Fizjoterapeuta",7,4,4,1
"2021/01/04 11:26:24 AM CET","Fizjoterapeuta",9,6,5,2
"2021/01/04 2:51:31 PM CET","Fizjoterapeuta",8,8,3,2
"2021/01/04 7:32:46 PM CET","Fizjoterapeuta",9,8,3,3
"2021/01/03 9:40:27 PM CET","Po這積a(y)",10,8,4,3
